"link";"titulo";"preco";"cidade";"bairro";"cep";"endereco_completo";"lat";"lon"
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-268313343";"Quarto";450;"Niterói";" Icaraí";24220390;"Travessa Dom Bosco, 24220390, Icaraí, Niterói, RJ";-22,9061590437091;-43,099466342687
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-na-diaria-ou-por-temporada-na-barra-da-tijuca-ilha-da-gigoia-268309043";"Quarto na diária ou por temporada na Barra da Tijuca- Ilha da Gigoia";1500;"Rio de Janeiro";" Barra da Tijuca";22640330;"Alameda das Mangueiras (Ia Gigóia), 22640330, Barra da Tijuca, Rio de Janeiro, RJ";-23,0001315656186;-43,3653930024472
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vaga-p-moca-em-santa-teresa-390-00-189400233";"Vaga p/ Moça em Santa Teresa 390,00";395;"Rio de Janeiro";" Santa Teresa";20251410;"Rua Vista Alegre, 20251410, Santa Teresa, Rio de Janeiro, RJ";-22,918045065633;-43,1929542364783
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-aluga-268303020";"Casa aluga";NA;"Rio de Janeiro";" Irajá";21361570;"Rua Caxambu, 21361570, Irajá, Rio de Janeiro, RJ";-22,8518508252476;-43,334196592742
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-para-mocas-268300020";"Quarto para moças";500;"Rio de Janeiro";" Vila Isabel";20560150;"Rua Luís Guimarães, 20560150, Vila Isabel, Rio de Janeiro, RJ";-22,918752342304;-43,2585454792934
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/preciso-de-uma-casa-268297770";"Preciso de uma casa";450;"Niterói";" Ten Jardim";24110770;"Rua do Quebra, 24110770, Tenente Jardim, Niterói, RJ";-22,8681271334861;-43,0733323843067
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quato-amplo-e-mobiliado-em-vila-isabel-268291247";"Quato amplo e mobiliado em Vila Isabel";700;"Rio de Janeiro";" Vila Isabel";20560070;"Rua Viana Drumond, 20560070, Vila Isabel, Rio de Janeiro, RJ";-22,9193236665843;-43,2566792391069
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-flamengo-268283883";"Quarto Flamengo";1250;"Rio de Janeiro";" Flamengo";22210050;"Rua Correa Dutra, 22210050, Flamengo, Rio de Janeiro, RJ";-22,9279297437853;-43,1772359760162
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-mobiliado-para-rapaz-no-rio-comprido-267354267";"Quarto Mobiliado para Rapaz no Rio Comprido";500;"Rio de Janeiro";" Rio Comprido";20250500;"Rua Azevedo Lima, 20250500, Rio Comprido, Rio de Janeiro, RJ";-22,9225580074723;-43,2063601609202
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/pousada-dom-gerardo-rio-de-janeiro-rj-268278032";"Pousada Dom Gerardo Rio de Janeiro - RJ";NA;"Rio de Janeiro";" Centro";20080070;"Rua Leandro Martins, 20080070, Centro, Rio de Janeiro, RJ";-22,9016985152256;-43,1829331535811
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/alugo-minha-casa-268277141";"Alugo minha casa";500;"Rio de Janeiro";" Rocha Miranda";21540480;"Rua Tingua, 21540480, Rocha Miranda, Rio de Janeiro, RJ";-22,8546965018787;-43,3423172377706
"http://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/quarto-individual-tijuca-178179729";"Quarto individual Tijuca";800;"Rio de Janeiro";" Tijuca";20510100;"Rua Carvalho Alvim, 20510100, Tijuca, Rio de Janeiro, RJ";-22,9260798552895;-43,2411737691589
